eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	sensor_id	start_date	end_date	start_time	end_time	lat_start	lon_start	lat_end	lon_end	start_depth_m	end_depth_m	eventDate	eventTime	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT
PS149_13-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-09	2025-07-09	17:04:22	19:00:16	83.7585	20.8558	83.7459	20.9344	4076.7	4076.9	2025-07-09	17:04:22/19:00:16	83.7522	 20.8951	848	LINESTRING(20.8558 83.7585, 20.9344 83.7459)
PS149_13-5	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	798f7a48-587d-4257-afa7-5b1c81e7df61	2025-07-09	2025-07-09	19:09:17	21:54:20	83.7448	20.9419	83.7273	21.1115	4074.4	4076.1	2025-07-09	19:09:17/21:54:20	83.7361	 21.0267	1418	LINESTRING(20.9419 83.7448, 21.1115 83.7273)
PS149_13-6	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	e0d55827-0762-4c94-bae3-ca8b44259bea	2025-07-11	2025-07-11	10:32:07	15:04:27	83.7556	22.2105	83.7717	22.4346	4070.6	4071	2025-07-11	10:32:07/15:04:27	83.7636	 22.3225	1625	LINESTRING(22.2105 83.7556, 22.4346 83.7717)
PS149_13-7	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-11	2025-07-11	15:31:27	16:52:45	83.7727	22.4596	83.7747	22.5356	4072.4	4070.8	2025-07-11	15:31:27/16:52:45	83.7737	 22.4976	472	LINESTRING(22.4596 83.7727, 22.5356 83.7747)
PS149_13-8	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-11	2025-07-11	15:42:27	15:47:36	83.7730	22.4697	83.7732	22.4745	4071.1	4070.9	2025-07-11	15:42:27/15:47:36	83.7731	 22.4721	31	LINESTRING(22.4697 83.7730, 22.4745 83.7732)
PS149_13-9	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	392ff207-2560-4b36-9932-1c8639e9d836	2025-07-11	2025-07-11	16:55:45	17:05:09	83.7747	22.5383	83.7749	22.5469	4072.3	4072.4	2025-07-11	16:55:45/17:05:09	83.7748	 22.5426	53	LINESTRING(22.5383 83.7747, 22.5469 83.7749)
PS149_14-1	station	PacificGyre SVP5S 2025O29	2025O29		Buoy	401b2ade-2b17-4e6b-bc9e-aa8334296a30	2025-07-12	2025-07-12	20:58:00	21:47:32	83.8650	24.2543	83.8673	24.3284	4071.3	4071.1	2025-07-12	20:58:00/21:47:32	83.8662	 24.2914	459	LINESTRING(24.2543 83.8650, 24.3284 83.8673)
PS149_14-2	station	MetOcean SVP-I-BXGS-AP (FID4076) 2025P348	2025P348		Buoy	44099067-2301-4388-b0ea-54975690463d	2025-07-12	2025-07-12	21:56:06	21:56:42	83.8678	24.3413	83.8678	24.3422	4071.2	4071.1	2025-07-12	21:56:06/21:56:42	83.8678	 24.3417	5	LINESTRING(24.3413 83.8678, 24.3422 83.8678)
PS149_15-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-13	2025-07-13	16:26:09	18:42:58	84.6670	20.7409	84.6633	20.7903	3681.4	4057.9	2025-07-13	16:26:09/18:42:58	84.6652	 20.7656	328	LINESTRING(20.7409 84.6670, 20.7903 84.6633)
PS149_15-2	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-13	2025-07-13	16:39:09	16:43:18	84.6678	20.7357	84.6679	20.7321	4055.5	4055.5	2025-07-13	16:39:09/16:43:18	84.6678	 20.7339	19	LINESTRING(20.7357 84.6678, 20.7321 84.6679)
PS149_15-3	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-13	2025-07-13	18:43:31	20:43:46	84.6633	20.7904	84.6584	20.8262	4057.9	4059.5	2025-07-13	18:43:31/20:43:46	84.6609	 20.8083	330	LINESTRING(20.7904 84.6633, 20.8262 84.6584)
PS149_15-4	station	TV-guided Multiple Corer	TV-MUC		corer	59405e69-7179-4bf0-b71c-0db656bfc279	2025-07-13	2025-07-13	20:45:25	00:46:49	84.6582	20.8248	84.6504	20.8413	4059.4	4060	2025-07-13	20:45:25/00:46:49	84.6543	 20.8330	443	LINESTRING(20.8248 84.6582, 20.8413 84.6504)
PS149_16-1	station	Ship-supported ice station	ship_icestation		pack ice	3f86bc00-2d39-11ef-ba7e-005056a5aa32	2025-07-14	2025-07-17	14:36:36	19:58:01	85.0227	13.5128	84.6866	13.9445	3065.2	3612.9	2025-07-14T14:36:36Z/2025-07-17T19:58:01Z		84.8546	 13.7286	18835	LINESTRING(13.5128 85.0227, 13.9445 84.6866)
PS149_16-10	station	TV-guided Multiple Corer	TV-MUC		corer	59405e69-7179-4bf0-b71c-0db656bfc279	2025-07-17	2025-07-17	20:19:46	23:25:02	84.6925	13.8798	84.6927	13.9099	3559.3	3570.8	2025-07-17	20:19:46/23:25:02	84.6926	 13.8948	155	LINESTRING(13.8798 84.6925, 13.9099 84.6927)
PS149_16-11	station	OpenMet Wavebuoy 2025X28	2025X28		Buoy	3cc21763-0bdf-4310-965e-2620788b33db	2025-07-17	2025-07-17	20:24:50	21:07:22	84.6924	13.8790	84.6923	13.8713	3558.5	3555.1	2025-07-17	20:24:50/21:07:22	84.6924	 13.8752	40	LINESTRING(13.8790 84.6924, 13.8713 84.6923)
PS149_16-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-14	2025-07-14	17:27:27	19:41:05	85.0226	13.5934	85.0273	13.6156	3049.9	3083	2025-07-14	17:27:27/19:41:05	85.0249	 13.6045	283	LINESTRING(13.5934 85.0226, 13.6156 85.0273)
PS149_16-3	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-14	2025-07-14	17:41:09	17:45:45	85.0229	13.5954	85.0230	13.5960	3048.4	3067.5	2025-07-14	17:41:09/17:45:45	85.0230	 13.5957	6	LINESTRING(13.5954 85.0229, 13.5960 85.0230)
PS149_16-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-14	2025-07-14	19:43:11	21:42:27	85.0274	13.6162	85.0330	13.6669	3086	2828.5	2025-07-14	19:43:11/21:42:27	85.0302	 13.6415	396	LINESTRING(13.6162 85.0274, 13.6669 85.0330)
